Date : 2023-07-29 07:14:00
Directory : c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA
Total : 1658 files,  225047 codes, 61858 comments, 65014 blanks, all 351919 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |      1,561 |    207,596 |     60,458 |     61,933 |    329,987 |
| SQL             |          1 |      7,391 |        756 |      1,756 |      9,903 |
| HTML            |         44 |      5,488 |        106 |        727 |      6,321 |
| XML             |         34 |      2,054 |        110 |        144 |      2,308 |
| CSS             |          8 |      1,737 |        112 |        240 |      2,089 |
| Java Properties |          6 |        514 |        136 |        141 |        791 |
| JavaScript      |          2 |        229 |        180 |         68 |        477 |
| Log             |          1 |         22 |          0 |          1 |         23 |
| Markdown        |          1 |         16 |          0 |          4 |         20 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                                |      1,658 |    225,047 |     61,858 |     65,014 |    351,919 |
| SIMASC_JAVA                                                                                                                                                                                                      |      1,658 |    225,047 |     61,858 |     65,014 |    351,919 |
| SIMASC_JAVA (Files)                                                                                                                                                                                              |          4 |         83 |          1 |          8 |         92 |
| SIMASC_JAVA\SimascComun                                                                                                                                                                                          |        875 |    131,047 |     31,430 |     41,370 |    203,847 |
| SIMASC_JAVA\SimascComun (Files)                                                                                                                                                                                  |          1 |        208 |          3 |         17 |        228 |
| SIMASC_JAVA\SimascComun\ejbModule                                                                                                                                                                                |          2 |        102 |          0 |          0 |        102 |
| SIMASC_JAVA\SimascComun\ejbModule\META-INF                                                                                                                                                                       |          2 |        102 |          0 |          0 |        102 |
| SIMASC_JAVA\SimascComun\ejbModule\META-INF (Files)                                                                                                                                                               |          1 |          5 |          0 |          0 |          5 |
| SIMASC_JAVA\SimascComun\ejbModule\META-INF\wsdl                                                                                                                                                                  |          1 |         97 |          0 |          0 |         97 |
| SIMASC_JAVA\SimascComun\src                                                                                                                                                                                      |        872 |    130,737 |     31,427 |     41,353 |    203,517 |
| SIMASC_JAVA\SimascComun\src\main                                                                                                                                                                                 |        871 |    130,620 |     31,418 |     41,330 |    203,368 |
| SIMASC_JAVA\SimascComun\src\main\java                                                                                                                                                                            |        866 |    122,638 |     30,541 |     39,443 |    192,622 |
| SIMASC_JAVA\SimascComun\src\main\java\co                                                                                                                                                                         |         18 |      1,209 |        560 |        278 |      2,047 |
| SIMASC_JAVA\SimascComun\src\main\java\co\org                                                                                                                                                                     |         18 |      1,209 |        560 |        278 |      2,047 |
| SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb                                                                                                                                                                 |         18 |      1,209 |        560 |        278 |      2,047 |
| SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc                                                                                                                                                          |         18 |      1,209 |        560 |        278 |      2,047 |
| SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc\comun                                                                                                                                                    |         18 |      1,209 |        560 |        278 |      2,047 |
| SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc\comun\correos                                                                                                                                            |         16 |        599 |        546 |        203 |      1,348 |
| SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc\comun\correos (Files)                                                                                                                                    |         13 |        517 |        461 |        167 |      1,145 |
| SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc\comun\correos\template                                                                                                                                   |          3 |         82 |         85 |         36 |        203 |
| SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc\comun\pdf                                                                                                                                                |          2 |        610 |         14 |         75 |        699 |
| SIMASC_JAVA\SimascComun\src\main\java\com                                                                                                                                                                        |        848 |    121,429 |     29,981 |     39,165 |    190,575 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb                                                                                                                                                                    |        848 |    121,429 |     29,981 |     39,165 |    190,575 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc                                                                                                                                                             |        848 |    121,429 |     29,981 |     39,165 |    190,575 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun                                                                                                                                                       |         27 |      4,944 |      1,527 |        953 |      7,424 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\conexion                                                                                                                                              |          1 |         59 |          2 |         16 |         77 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\fachada                                                                                                                                               |          8 |      1,387 |        669 |        320 |      2,376 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\fachada\implementacion                                                                                                                                |          4 |      1,267 |        391 |        248 |      1,906 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\fachada\interfaces                                                                                                                                    |          4 |        120 |        278 |         72 |        470 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\seguridad                                                                                                                                             |          5 |      1,010 |        413 |        214 |      1,637 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\seguridad\fachada                                                                                                                                     |          2 |        805 |        292 |        168 |      1,265 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\seguridad\fachada\implementacion                                                                                                                      |          1 |        768 |        204 |        146 |      1,118 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\seguridad\fachada\interfaces                                                                                                                          |          1 |         37 |         88 |         22 |        147 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\seguridad\servicio                                                                                                                                    |          2 |        196 |        116 |         39 |        351 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\seguridad\servicio\implementacion                                                                                                                     |          2 |        196 |        116 |         39 |        351 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\seguridad\servicios                                                                                                                                   |          1 |          9 |          5 |          7 |         21 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\seguridad\servicios\interfaces                                                                                                                        |          1 |          9 |          5 |          7 |         21 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\util                                                                                                                                                  |          3 |         69 |         36 |         26 |        131 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\webservice                                                                                                                                            |         10 |      2,419 |        407 |        377 |      3,203 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\webservice\integracion                                                                                                                                |         10 |      2,419 |        407 |        377 |      3,203 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\webservice\integracion\implementacion                                                                                                                 |          5 |      2,365 |        332 |        345 |      3,042 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\webservice\integracion\interfaces                                                                                                                     |          5 |         54 |         75 |         32 |        161 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\integracion                                                                                                                                                 |        186 |     23,089 |      6,483 |      5,806 |     35,378 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\integracion\enumeraciones                                                                                                                                   |          7 |         85 |         51 |         32 |        168 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\integracion\manejadores                                                                                                                                     |        179 |     23,004 |      6,432 |      5,774 |     35,210 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\integracion\manejadores (Files)                                                                                                                             |        170 |     20,412 |      5,645 |      5,380 |     31,437 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\integracion\manejadores\reportes                                                                                                                            |          1 |      1,763 |        107 |        139 |      2,009 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\integracion\manejadores\utilidades                                                                                                                          |          8 |        829 |        680 |        255 |      1,764 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal                                                                                                                                                 |        635 |     93,396 |     21,971 |     32,406 |    147,773 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto                                                                                                                                             |        375 |     50,174 |     12,336 |     16,748 |     79,258 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto (Files)                                                                                                                                     |        268 |     40,720 |      8,854 |     15,203 |     64,777 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\alertas                                                                                                                                     |          2 |        224 |        108 |         15 |        347 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\cartas                                                                                                                                      |          3 |        221 |         23 |         36 |        280 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios                                                                                                                                 |         67 |      6,036 |      1,499 |      1,022 |      8,557 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\pup                                                                                                                                         |         12 |        592 |        992 |        181 |      1,765 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\pup\generado                                                                                                                                |         12 |        592 |        992 |        181 |      1,765 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes                                                                                                                                    |         23 |      2,381 |        860 |        291 |      3,532 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades                                                                                                                                       |        236 |     39,383 |      7,814 |     14,835 |     62,032 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\excepciones                                                                                                                                     |          6 |        141 |        186 |         60 |        387 |
| SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\utilidades                                                                                                                                      |         18 |      3,698 |      1,635 |        763 |      6,096 |
| SIMASC_JAVA\SimascComun\src\main\resources                                                                                                                                                                       |          5 |      7,982 |        877 |      1,887 |     10,746 |
| SIMASC_JAVA\SimascComun\src\main\resources (Files)                                                                                                                                                               |          2 |      7,872 |        863 |      1,884 |     10,619 |
| SIMASC_JAVA\SimascComun\src\main\resources\META-INF                                                                                                                                                              |          3 |        110 |         14 |          3 |        127 |
| SIMASC_JAVA\SimascComun\src\main\resources\META-INF (Files)                                                                                                                                                      |          2 |         13 |         14 |          3 |         30 |
| SIMASC_JAVA\SimascComun\src\main\resources\META-INF\wsdl                                                                                                                                                         |          1 |         97 |          0 |          0 |         97 |
| SIMASC_JAVA\SimascComun\src\test                                                                                                                                                                                 |          1 |        117 |          9 |         23 |        149 |
| SIMASC_JAVA\SimascComun\src\test\java                                                                                                                                                                            |          1 |        117 |          9 |         23 |        149 |
| SIMASC_JAVA\SimascComun\src\test\java\org                                                                                                                                                                        |          1 |        117 |          9 |         23 |        149 |
| SIMASC_JAVA\SimascComun\src\test\java\org\xulescode                                                                                                                                                              |          1 |        117 |          9 |         23 |        149 |
| SIMASC_JAVA\SimascComun\src\test\java\org\xulescode\itext                                                                                                                                                        |          1 |        117 |          9 |         23 |        149 |
| SIMASC_JAVA\SimascEar                                                                                                                                                                                            |          2 |        110 |          1 |          6 |        117 |
| SIMASC_JAVA\SimascEar (Files)                                                                                                                                                                                    |          1 |         90 |          1 |          6 |         97 |
| SIMASC_JAVA\SimascEarREST                                                                                                                                                                                        |          1 |         99 |          1 |          4 |        104 |
| SIMASC_JAVA\SimascEarTareas                                                                                                                                                                                      |          2 |        108 |          1 |          6 |        115 |
| SIMASC_JAVA\SimascEarTareas (Files)                                                                                                                                                                              |          1 |         93 |          1 |          6 |        100 |
| SIMASC_JAVA\SimascEarTareas\src                                                                                                                                                                                  |          1 |         15 |          0 |          0 |         15 |
| SIMASC_JAVA\SimascEarTareas\src\main                                                                                                                                                                             |          1 |         15 |          0 |          0 |         15 |
| SIMASC_JAVA\SimascEarTareas\src\main\application                                                                                                                                                                 |          1 |         15 |          0 |          0 |         15 |
| SIMASC_JAVA\SimascEarTareas\src\main\application\META-INF                                                                                                                                                        |          1 |         15 |          0 |          0 |         15 |
| SIMASC_JAVA\SimascEar\src                                                                                                                                                                                        |          1 |         20 |          0 |          0 |         20 |
| SIMASC_JAVA\SimascEar\src\main                                                                                                                                                                                   |          1 |         20 |          0 |          0 |         20 |
| SIMASC_JAVA\SimascEar\src\main\application                                                                                                                                                                       |          1 |         20 |          0 |          0 |         20 |
| SIMASC_JAVA\SimascEar\src\main\application\META-INF                                                                                                                                                              |          1 |         20 |          0 |          0 |         20 |
| SIMASC_JAVA\SimascEjb                                                                                                                                                                                            |         63 |      8,388 |      1,674 |      2,130 |     12,192 |
| SIMASC_JAVA\SimascEjb (Files)                                                                                                                                                                                    |          1 |        125 |         10 |          7 |        142 |
| SIMASC_JAVA\SimascEjb\src                                                                                                                                                                                        |         62 |      8,263 |      1,664 |      2,123 |     12,050 |
| SIMASC_JAVA\SimascEjb\src\main                                                                                                                                                                                   |         62 |      8,263 |      1,664 |      2,123 |     12,050 |
| SIMASC_JAVA\SimascEjb\src\main\java                                                                                                                                                                              |         61 |      8,249 |      1,648 |      2,118 |     12,015 |
| SIMASC_JAVA\SimascEjb\src\main\java\com                                                                                                                                                                          |         61 |      8,249 |      1,648 |      2,118 |     12,015 |
| SIMASC_JAVA\SimascEjb\src\main\java\com\ccb                                                                                                                                                                      |         61 |      8,249 |      1,648 |      2,118 |     12,015 |
| SIMASC_JAVA\SimascEjb\src\main\java\com\ccb\simasc                                                                                                                                                               |         61 |      8,249 |      1,648 |      2,118 |     12,015 |
| SIMASC_JAVA\SimascEjb\src\main\java\com\ccb\simasc\integracion                                                                                                                                                   |          3 |        167 |         67 |         42 |        276 |
| SIMASC_JAVA\SimascEjb\src\main\java\com\ccb\simasc\integracion\utilidades                                                                                                                                        |          3 |        167 |         67 |         42 |        276 |
| SIMASC_JAVA\SimascEjb\src\main\java\com\ccb\simasc\negocio                                                                                                                                                       |         27 |      4,877 |        689 |      1,048 |      6,614 |
| SIMASC_JAVA\SimascEjb\src\main\java\com\ccb\simasc\negocio\arbitraje                                                                                                                                             |         18 |      3,892 |        478 |        749 |      5,119 |
| SIMASC_JAVA\SimascEjb\src\main\java\com\ccb\simasc\negocio\transversal                                                                                                                                           |          9 |        985 |        211 |        299 |      1,495 |
| SIMASC_JAVA\SimascEjb\src\main\java\com\ccb\simasc\transversal                                                                                                                                                   |         31 |      3,205 |        892 |      1,028 |      5,125 |
| SIMASC_JAVA\SimascEjb\src\main\java\com\ccb\simasc\transversal\dto                                                                                                                                               |         31 |      3,205 |        892 |      1,028 |      5,125 |
| SIMASC_JAVA\SimascEjb\src\main\java\com\ccb\simasc\transversal\dto\reportes                                                                                                                                      |         31 |      3,205 |        892 |      1,028 |      5,125 |
| SIMASC_JAVA\SimascEjb\src\main\resources                                                                                                                                                                         |          1 |         14 |         16 |          5 |         35 |
| SIMASC_JAVA\SimascNegocio                                                                                                                                                                                        |        346 |     44,710 |     13,702 |     12,467 |     70,879 |
| SIMASC_JAVA\SimascNegocio (Files)                                                                                                                                                                                |          1 |        172 |         23 |         16 |        211 |
| SIMASC_JAVA\SimascNegocio\ejbModule                                                                                                                                                                              |          1 |          4 |          0 |          0 |          4 |
| SIMASC_JAVA\SimascNegocio\ejbModule\META-INF                                                                                                                                                                     |          1 |          4 |          0 |          0 |          4 |
| SIMASC_JAVA\SimascNegocio\src                                                                                                                                                                                    |        344 |     44,534 |     13,679 |     12,451 |     70,664 |
| SIMASC_JAVA\SimascNegocio\src\main                                                                                                                                                                               |        344 |     44,534 |     13,679 |     12,451 |     70,664 |
| SIMASC_JAVA\SimascNegocio\src\main\java                                                                                                                                                                          |        344 |     44,534 |     13,679 |     12,451 |     70,664 |
| SIMASC_JAVA\SimascNegocio\src\main\java\com                                                                                                                                                                      |        344 |     44,534 |     13,679 |     12,451 |     70,664 |
| SIMASC_JAVA\SimascNegocio\src\main\java\com\ccb                                                                                                                                                                  |        344 |     44,534 |     13,679 |     12,451 |     70,664 |
| SIMASC_JAVA\SimascNegocio\src\main\java\com\ccb\simasc                                                                                                                                                           |        344 |     44,534 |     13,679 |     12,451 |     70,664 |
| SIMASC_JAVA\SimascNegocio\src\main\java\com\ccb\simasc\negocio                                                                                                                                                   |        344 |     44,534 |     13,679 |     12,451 |     70,664 |
| SIMASC_JAVA\SimascNegocio\src\main\java\com\ccb\simasc\negocio\fachadas                                                                                                                                          |        344 |     44,534 |     13,679 |     12,451 |     70,664 |
| SIMASC_JAVA\SimascNegocio\src\main\java\com\ccb\simasc\negocio\fachadas\arbitraje                                                                                                                                |        340 |     42,979 |     13,109 |     11,879 |     67,967 |
| SIMASC_JAVA\SimascNegocio\src\main\java\com\ccb\simasc\negocio\fachadas\arbitraje\implementaciones                                                                                                               |        170 |     40,219 |      7,430 |      9,332 |     56,981 |
| SIMASC_JAVA\SimascNegocio\src\main\java\com\ccb\simasc\negocio\fachadas\arbitraje\interfaces                                                                                                                     |        170 |      2,760 |      5,679 |      2,547 |     10,986 |
| SIMASC_JAVA\SimascNegocio\src\main\java\com\ccb\simasc\negocio\fachadas\reparto                                                                                                                                  |          2 |      1,257 |        356 |        499 |      2,112 |
| SIMASC_JAVA\SimascNegocio\src\main\java\com\ccb\simasc\negocio\fachadas\reparto\implementaciones                                                                                                                 |          1 |      1,237 |        342 |        483 |      2,062 |
| SIMASC_JAVA\SimascNegocio\src\main\java\com\ccb\simasc\negocio\fachadas\reparto\interfaces                                                                                                                       |          1 |         20 |         14 |         16 |         50 |
| SIMASC_JAVA\SimascNegocio\src\main\java\com\ccb\simasc\negocio\fachadas\reportes                                                                                                                                 |          2 |        298 |        214 |         73 |        585 |
| SIMASC_JAVA\SimascNegocio\src\main\java\com\ccb\simasc\negocio\fachadas\reportes\implementacion                                                                                                                  |          1 |        244 |         65 |         46 |        355 |
| SIMASC_JAVA\SimascNegocio\src\main\java\com\ccb\simasc\negocio\fachadas\reportes\interfaces                                                                                                                      |          1 |         54 |        149 |         27 |        230 |
| SIMASC_JAVA\SimascRecursosREST                                                                                                                                                                                   |        188 |     20,803 |      5,994 |      4,780 |     31,577 |
| SIMASC_JAVA\SimascRecursosREST (Files)                                                                                                                                                                           |          1 |        169 |          5 |          9 |        183 |
| SIMASC_JAVA\SimascRecursosREST\src                                                                                                                                                                               |        187 |     20,634 |      5,989 |      4,771 |     31,394 |
| SIMASC_JAVA\SimascRecursosREST\src\main                                                                                                                                                                          |        187 |     20,634 |      5,989 |      4,771 |     31,394 |
| SIMASC_JAVA\SimascRecursosREST\src\main\java                                                                                                                                                                     |        182 |     20,397 |      5,984 |      4,759 |     31,140 |
| SIMASC_JAVA\SimascRecursosREST\src\main\java\com                                                                                                                                                                 |        182 |     20,397 |      5,984 |      4,759 |     31,140 |
| SIMASC_JAVA\SimascRecursosREST\src\main\java\com\ccb                                                                                                                                                             |        182 |     20,397 |      5,984 |      4,759 |     31,140 |
| SIMASC_JAVA\SimascRecursosREST\src\main\java\com\ccb\simasc                                                                                                                                                      |        182 |     20,397 |      5,984 |      4,759 |     31,140 |
| SIMASC_JAVA\SimascRecursosREST\src\main\java\com\ccb\simasc\rest                                                                                                                                                 |        182 |     20,397 |      5,984 |      4,759 |     31,140 |
| SIMASC_JAVA\SimascRecursosREST\src\main\java\com\ccb\simasc\rest\model                                                                                                                                           |          2 |         45 |          0 |         19 |         64 |
| SIMASC_JAVA\SimascRecursosREST\src\main\java\com\ccb\simasc\rest\recursos                                                                                                                                        |        177 |     20,258 |      5,904 |      4,712 |     30,874 |
| SIMASC_JAVA\SimascRecursosREST\src\main\java\com\ccb\simasc\rest\recursos (Files)                                                                                                                                |        170 |     19,805 |      5,796 |      4,619 |     30,220 |
| SIMASC_JAVA\SimascRecursosREST\src\main\java\com\ccb\simasc\rest\recursos\configuracion                                                                                                                          |          7 |        453 |        108 |         93 |        654 |
| SIMASC_JAVA\SimascRecursosREST\src\main\java\com\ccb\simasc\rest\recursos\configuracion (Files)                                                                                                                  |          4 |        361 |         91 |         61 |        513 |
| SIMASC_JAVA\SimascRecursosREST\src\main\java\com\ccb\simasc\rest\recursos\configuracion\manejoDeErrores                                                                                                          |          3 |         92 |         17 |         32 |        141 |
| SIMASC_JAVA\SimascRecursosREST\src\main\java\com\ccb\simasc\rest\transversal                                                                                                                                     |          3 |         94 |         80 |         28 |        202 |
| SIMASC_JAVA\SimascRecursosREST\src\main\java\com\ccb\simasc\rest\transversal\excepciones                                                                                                                         |          3 |         94 |         80 |         28 |        202 |
| SIMASC_JAVA\SimascRecursosREST\src\main\resources                                                                                                                                                                |          1 |        162 |          4 |          9 |        175 |
| SIMASC_JAVA\SimascRecursosREST\src\main\resources\TemplatePDF                                                                                                                                                    |          1 |        162 |          4 |          9 |        175 |
| SIMASC_JAVA\SimascRecursosREST\src\main\webapp                                                                                                                                                                   |          4 |         75 |          1 |          3 |         79 |
| SIMASC_JAVA\SimascRecursosREST\src\main\webapp (Files)                                                                                                                                                           |          1 |         10 |          0 |          2 |         12 |
| SIMASC_JAVA\SimascRecursosREST\src\main\webapp\META-INF                                                                                                                                                          |          1 |          2 |          0 |          1 |          3 |
| SIMASC_JAVA\SimascRecursosREST\src\main\webapp\WEB-INF                                                                                                                                                           |          2 |         63 |          1 |          0 |         64 |
| SIMASC_JAVA\SimascServiciosWeb                                                                                                                                                                                   |         18 |        997 |        553 |        195 |      1,745 |
| SIMASC_JAVA\SimascServiciosWeb (Files)                                                                                                                                                                           |          1 |        140 |         31 |         14 |        185 |
| SIMASC_JAVA\SimascServiciosWeb\src                                                                                                                                                                               |         17 |        857 |        522 |        181 |      1,560 |
| SIMASC_JAVA\SimascServiciosWeb\src\main                                                                                                                                                                          |         17 |        857 |        522 |        181 |      1,560 |
| SIMASC_JAVA\SimascServiciosWeb\src\main\java                                                                                                                                                                     |         12 |        525 |        518 |        147 |      1,190 |
| SIMASC_JAVA\SimascServiciosWeb\src\main\java\com                                                                                                                                                                 |         12 |        525 |        518 |        147 |      1,190 |
| SIMASC_JAVA\SimascServiciosWeb\src\main\java\com\ccb                                                                                                                                                             |         12 |        525 |        518 |        147 |      1,190 |
| SIMASC_JAVA\SimascServiciosWeb\src\main\java\com\ccb\simasc                                                                                                                                                      |         12 |        525 |        518 |        147 |      1,190 |
| SIMASC_JAVA\SimascServiciosWeb\src\main\java\com\ccb\simasc\ws                                                                                                                                                   |         12 |        525 |        518 |        147 |      1,190 |
| SIMASC_JAVA\SimascServiciosWeb\src\main\java\com\ccb\simasc\ws\pagoCasoSimasc                                                                                                                                    |         12 |        525 |        518 |        147 |      1,190 |
| SIMASC_JAVA\SimascServiciosWeb\src\main\java\com\ccb\simasc\ws\pagoCasoSimasc (Files)                                                                                                                            |         10 |        336 |        487 |        117 |        940 |
| SIMASC_JAVA\SimascServiciosWeb\src\main\java\com\ccb\simasc\ws\pagoCasoSimasc\impl                                                                                                                               |          2 |        189 |         31 |         30 |        250 |
